Date,Open,High,Low,Close,Adj Close,Volume,Dividends,StockSplits
2024-01-03,3462.52001953125,3480.679931640625,3405.030029296875,3409.27001953125,3366.587158203125,327400,0.0,0.0
2024-01-04,3400.0,3448.669921875,3384.10009765625,3419.93994140625,3377.12353515625,176600,0.0,0.0
2024-01-05,3419.760009765625,3449.5,3394.260009765625,3408.139892578125,3365.471435546875,321800,0.0,0.0
2024-01-08,3411.6298828125,3465.0,3406.820068359375,3462.840087890625,3419.48681640625,264700,0.0,0.0
2024-01-09,3441.0,3490.5,3441.0,3489.22998046875,3445.546142578125,224300,0.0,0.0
2024-01-10,3493.72998046875,3537.75,3493.72998046875,3521.14990234375,3477.066650390625,148500,0.0,0.0
2024-01-11,3502.550048828125,3552.949951171875,3485.9599609375,3552.280029296875,3507.80712890625,167500,0.0,0.0
2024-01-12,3572.18994140625,3576.72998046875,3498.919921875,3502.39990234375,3458.55126953125,167200,0.0,0.0
2024-01-16,3497.800048828125,3510.0,3466.64990234375,3503.699951171875,3459.8349609375,173200,0.0,0.0
2024-01-17,3496.739990234375,3510.840087890625,3461.550048828125,3489.89990234375,3446.207763671875,182400,0.0,0.0
2024-01-18,3498.0,3540.5400390625,3481.550048828125,3528.81005859375,3484.630615234375,223000,0.0,0.0
2024-01-19,3561.889892578125,3622.590087890625,3551.510009765625,3616.510009765625,3571.232666015625,235100,0.0,0.0
2024-01-22,3653.070068359375,3669.659912109375,3480.610107421875,3506.02001953125,3462.1259765625,456400,0.0,0.0
2024-01-23,3523.25,3531.0,3486.050048828125,3490.6201171875,3446.919189453125,238200,0.0,0.0
2024-01-24,3500.0,3522.550048828125,3476.5,3496.75,3452.971923828125,260900,0.0,0.0
2024-01-25,3519.989990234375,3540.27001953125,3491.4599609375,3503.25,3459.390380859375,278100,0.0,0.0
2024-01-26,3495.93994140625,3536.699951171875,3480.0,3519.60009765625,3475.5361328125,209600,0.0,0.0
2024-01-29,3522.5,3564.139892578125,3496.780029296875,3553.8798828125,3509.38671875,219500,0.0,0.0
2024-01-30,3526.0,3575.47998046875,3524.699951171875,3555.14990234375,3510.640869140625,185500,0.0,0.0
2024-01-31,3530.0,3553.7099609375,3501.080078125,3507.469970703125,3463.55810546875,186400,0.0,0.0
2024-02-01,3592.25,3599.56005859375,3511.699951171875,3558.449951171875,3513.899658203125,196500,0.0,0.0
2024-02-02,3538.949951171875,3583.429931640625,3511.5,3561.389892578125,3516.802734375,197600,0.0,0.0
2024-02-05,3541.0,3628.68994140625,3535.409912109375,3625.0,3579.6162109375,230800,0.0,0.0
2024-02-06,3635.0,3660.199951171875,3605.429931640625,3644.93994140625,3599.306640625,277000,0.0,0.0
2024-02-07,3650.10009765625,3745.4599609375,3646.320068359375,3708.919921875,3662.4853515625,284800,0.0,0.0
2024-02-08,3750.0,3844.760009765625,3725.949951171875,3840.219970703125,3792.141845703125,376500,0.0,0.0
2024-02-09,3700.0,3761.8798828125,3663.010009765625,3758.179931640625,3711.129150390625,398900,0.0,0.0
2024-02-12,3757.110107421875,3827.0,3749.659912109375,3790.22998046875,3742.77783203125,247300,0.0,0.0
