Date,Open,High,Low,Close,Volume,Dividends,StockSplits,Capital Gains
2023-11-10,209.96791332793666,212.4180216222679,209.33341280676447,212.2716064453125,3303400,0.0,0.0,0.0
2023-11-13,211.63711689117292,212.6620678671578,211.17832945330093,212.14471435546875,2829400,0.0,0.0,0.0
2023-11-14,215.24881525745099,217.46465917586087,215.24881525745099,216.8496856689453,4055100,0.0,0.0,0.0
2023-11-15,217.54275227417028,218.46032706411873,216.98634483547613,217.38656616210938,2819200,0.0,0.0,0.0
2023-11-16,216.99613810016626,217.56230164358553,216.31284240801511,217.24017333984375,2754500,0.0,0.0,0.0
2023-11-17,217.55250977077674,218.1089172131797,217.11324936056403,217.7867889404297,3123700,0.0,0.0,0.0
2023-11-20,217.78678728641023,219.8757281254198,217.67941119630908,219.42669677734375,2875600,0.0,0.0,0.0
2023-11-21,218.89960532567014,219.07530354502364,218.27487572119873,218.83126831054688,2513800,0.0,0.0,0.0
2023-11-22,219.4852667836234,220.37354359950575,219.17289457538544,219.76834106445312,2880400,0.0,0.0,0.0
2023-11-24,219.67071007454126,220.06117531537294,219.64142704331962,220.0026092529297,1219500,0.0,0.0,0.0
2023-11-27,219.7488264913669,220.14904782025775,219.40718612587497,219.71954345703125,2410000,0.0,0.0,0.0
2023-11-28,219.4072151737082,220.52001530997237,219.09484290646867,219.85623168945312,2761900,0.0,0.0,0.0
2023-11-29,220.97877781016194,221.7694495420577,219.73907471850694,219.95382690429688,2653700,0.0,0.0,0.0
2023-11-30,220.34427981857124,220.9885363833064,219.45600292507905,220.86163330078125,3148000,0.0,0.0,0.0
2023-12-01,220.59807902774028,222.88224507280123,220.20761374563958,222.72605895996094,4078700,0.0,0.0,0.0
2023-12-04,221.1739960355389,222.00370682291003,220.68592560953445,221.92562866210938,3837800,0.0,0.0,0.0
2023-12-05,221.17399599910098,222.02323377389604,220.81282865022996,221.49612426757812,3019000,0.0,0.0,0.0
2023-12-06,222.45275200875687,222.71631422572088,220.49071413624966,220.5590362548828,3172900,0.0,0.0,0.0
2023-12-07,221.57423365331547,222.60894064937688,221.3009153862324,222.3258514404297,2724300,0.0,0.0,0.0
2023-12-08,221.93539152548774,223.62411108081008,221.84754242084313,223.3898468017578,2741500,0.0,0.0,0.0
2023-12-11,223.23364236045435,224.34644227878536,223.05792927086176,224.30738830566406,3076600,0.0,0.0,0.0
2023-12-12,224.11219927017643,225.27380939489606,223.49724059423528,225.15667724609375,3214900,0.0,0.0,0.0
2023-12-13,225.26402003890811,228.8366841016704,225.04926786803873,228.65122985839844,4231100,0.0,0.0,0.0
2023-12-14,230.0373549331637,230.93540272251607,228.60242670052259,230.00807189941406,5014500,0.0,0.0,0.0
2023-12-15,229.1881117978751,230.31068275227767,229.0319405762939,229.69570922851562,4298600,0.0,0.0,0.0
2023-12-18,230.23257309924867,231.1696748348301,230.1935340203492,230.6913604736328,3855100,0.0,0.0,0.0
2023-12-19,231.07205605296969,232.4191351505966,231.07205605296969,232.3800811767578,3731700,0.0,0.0,0.0
2023-12-20,232.06774072312166,232.99507159036506,228.84647280478276,228.914794921875,5149700,0.0,0.0,0.0
2023-12-21,230.4558716882158,231.52442730429954,229.45593136192372,231.4459991455078,4427000,1.002,0.0,0.0
2023-12-22,231.93616601417116,232.8478802795492,231.00485592789948,231.9753875732422,3662400,0.0,0.0,0.0
2023-12-26,232.3184980581449,233.62233818547975,232.20086329613164,233.12237548828125,3829400,0.0,0.0,0.0
2023-12-27,233.3184551867458,233.7498026233311,232.79888167230712,233.56353759765625,5103700,0.0,0.0,0.0
2023-12-28,233.56352709916797,234.04389398807191,233.44589233398438,233.44589233398438,4099400,0.0,0.0,0.0
2023-12-29,233.45570397986987,233.77921456180056,231.82835315875556,232.55380249023438,4188800,0.0,0.0,0.0
2024-01-02,231.01466723316264,231.85775129837145,230.15198734592397,230.9950714111328,4847600,0.0,0.0,0.0
2024-01-03,229.91669640688687,230.1225722015695,228.52463019102095,228.77951049804688,3925500,0.0,0.0,0.0
2024-01-04,228.67168189657636,229.9363154838827,228.08349309945217,228.1913299560547,3681900,0.0,0.0,0.0
2024-01-05,228.12270243639983,229.77946190831102,227.82860055499162,228.53443908691406,3305500,0.0,0.0,0.0
2024-01-08,228.6815089883404,231.90678705862155,228.6716961179935,231.7989501953125,4156600,0.0,0.0,0.0
2024-01-09,230.52450017155496,231.9067685019165,230.12257640287666,231.36758422851562,4524800,0.0,0.0,0.0
2024-01-10,231.4754321231926,232.98514816071955,231.15192154372255,232.5635986328125,3343400,0.0,0.0,0.0
2024-01-11,232.84788359590996,233.18119205955153,230.29902073109795,232.40673828125,3375600,0.0,0.0,0.0
2024-01-12,233.2988353391992,233.68116328701606,231.7695235479317,232.44595336914062,3053400,0.0,0.0,0.0
2024-01-16,231.64207532067562,232.2498898464378,230.47549565831702,231.36758422851562,3646700,0.0,0.0,0.0
2024-01-17,229.79907274863916,230.25001600275738,228.83833893854842,229.97552490234375,3336600,0.0,0.0,0.0
2024-01-18,231.00488133205286,232.29892366815207,230.004940886762,232.00482177734375,3509900,0.0,0.0,0.0
2024-01-19,232.7106699837376,235.0242486841343,232.10285539521905,234.8281707763672,3850800,0.0,0.0,0.0
2024-01-22,235.80848046468532,236.65156453713087,235.32812852390404,235.8477020263672,3952700,0.0,0.0,0.0
2024-01-23,236.27903747558594,236.42608092783183,235.33791450528585,236.27903747558594,3015300,0.0,0.0,0.0
2024-01-24,237.88676852601182,238.09262935149903,236.11237446124707,236.23980712890625,3003000,0.0,0.0,0.0
2024-01-25,237.42603441757024,237.7887515922767,236.32807002366343,237.55348205566406,2993900,0.0,0.0,0.0
2024-01-26,237.54367164038257,238.2397122635539,236.97507865662192,237.35740661621094,2858200,0.0,0.0,0.0
2024-01-29,237.57306630432095,239.5337254600063,237.36720546981363,239.51412963867188,3463400,0.0,0.0,0.0
2024-01-30,239.2690729492335,239.52395328174356,238.77890810765305,239.1808319091797,3098900,0.0,0.0,0.0
2024-01-31,238.06323722233688,238.4553780387552,235.1418591935727,235.1516571044922,3884500,0.0,0.0,0.0
2024-02-01,236.16137829686522,238.318115234375,235.31829430092273,238.318115234375,3986800,0.0,0.0,0.0
2024-02-02,238.18089026474365,241.17088362888376,237.91619707980408,240.35720825195312,3876600,0.0,0.0,0.0
2024-02-05,240.01409631611142,240.17095264124004,237.96521105453735,239.22003173828125,3324800,0.0,0.0,0.0
2024-02-06,239.67097454400073,240.20036090069777,239.1023815854132,240.03370666503906,2568400,0.0,0.0,0.0
2024-02-07,241.16107958870148,242.22963525371546,240.56307793934317,241.9257354736328,2305700,0.0,0.0,0.0
2024-02-08,241.95514970446783,242.60217083995997,241.66104782845844,242.52374267578125,2668200,0.0,0.0,0.0
2024-02-09,242.87665527825988,244.2491107171624,242.64137079217272,244.0040283203125,2367700,0.0,0.0,0.0
2024-02-12,244.14126465037023,245.41569605762152,243.82756697273527,244.2393035888672,2769700,0.0,0.0,0.0
2024-02-13,240.7787474929035,241.4747880728948,238.5632080387097,240.32778930664062,5832600,0.0,0.0,0.0
2024-02-14,242.0139653739478,243.1511513085209,240.77875545382767,242.9844970703125,2606900,0.0,0.0,0.0
2024-02-15,243.45505445740798,245.02358783426118,243.14135675722306,244.85693359375,3181900,0.0,0.0,0.0
2024-02-16,244.70006589927934,245.3078654492254,243.2197736256252,243.57269287109375,2909200,0.0,0.0,0.0
2024-02-20,242.6806039748174,242.87666690995857,240.9258055524926,242.0433807373047,3445100,0.0,0.0,0.0
2024-02-21,241.21008610717826,242.13159826739093,240.3081847261689,242.09237670898438,2169900,0.0,0.0,0.0
2024-02-22,245.04319225193183,247.24893384161734,244.7000709100793,246.87640380859375,3873000,0.0,0.0,0.0
2024-02-23,247.49401850255006,247.94496174372313,246.58230419198628,247.04306030273438,2856000,0.0,0.0,0.0
2024-02-26,247.06267531700496,247.4744119628614,246.25879784749267,246.2980194091797,2585800,0.0,0.0,0.0
2024-02-27,246.83717925818178,247.1410939943393,246.01370599808084,246.98423767089844,2024600,0.0,0.0,0.0
2024-02-28,246.16077312100555,247.00385719102903,246.03332548386993,246.572509765625,2192200,0.0,0.0,0.0
2024-02-29,247.70967254295823,248.31748705798972,246.18036078259695,247.6116485595703,2610400,0.0,0.0,0.0
2024-03-01,248.06261828196602,250.0527013154702,247.7096989950692,249.8860321044922,3693800,0.0,0.0,0.0
2024-03-04,249.76837781234352,250.552644495128,249.52329540888854,249.64093017578125,4966800,0.0,0.0,0.0
2024-03-05,248.68999979244316,248.8664668947114,245.97449763569426,246.99403381347656,3134800,0.0,0.0,0.0
2024-03-06,248.87629227471297,249.50370267459206,247.70969755650557,248.4547576904297,2501700,0.0,0.0,0.0
2024-03-07,249.98405611294234,251.32710292176375,249.64093475834972,250.87615966796875,2940900,0.0,0.0,0.0
2024-03-08,251.3761233951204,252.64072700949444,249.0429192555507,249.4252471923828,3673500,0.0,0.0,0.0
2024-03-11,248.89586780195938,249.3468259748608,247.72927324899433,249.0233154296875,3038700,0.0,0.0,0.0
2024-03-12,249.97423160455602,251.6897933190548,248.66057866912683,251.4839324951172,4380100,0.0,0.0,0.0
2024-03-13,251.52317652799712,251.8172634456148,250.44480796792297,251.1702423095703,2667400,0.0,0.0,0.0
2024-03-14,251.64080800207887,251.81726015034042,248.7292278866223,250.19972229003906,3664100,0.0,0.0,0.0
2024-03-15,248.61159978801976,249.64093393110056,247.72929414712374,248.7194366455078,3216800,0.0,0.0,0.0
2024-03-18,250.5526628368954,251.17026036693622,249.79780479057453,249.98406982421875,3455400,0.0,0.0,0.0
2024-03-19,249.42524442952998,251.5035383237869,249.17036412734595,251.4251251220703,2900200,0.0,0.0,0.0
2024-03-20,251.41530808149602,254.10143139294692,251.15062987314934,253.97398376464844,2480800,0.0,0.0,0.0
2024-03-21,255.52289695671348,255.93464854055594,254.92491027809376,255.02294921875,3723200,0.0,0.0,0.0
2024-03-22,254.98457784797614,255.2403688881388,254.14836331257126,254.30577087402344,2465300,0.911,0.0,0.0
2024-03-25,253.91227122579443,254.2959277700287,253.60730345239025,253.73519897460938,2714400,0.0,0.0,0.0
2024-03-26,254.60086243477045,254.63037447279683,253.10553580406824,253.28260803222656,2591500,0.0,0.0,0.0
2024-03-27,254.92555251730727,255.63387152916343,253.82372961495818,255.5158233642578,4030200,0.0,0.0,0.0
2024-03-28,255.58466095683616,256.3520040396703,255.54533158407068,255.68304443359375,2669100,0.0,0.0,0.0
2024-04-01,256.0962331083052,256.15525718758937,254.4828282147498,255.48629760742188,3292300,0.0,0.0,0.0
