Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2023-04-18,370.01549869416203,370.0930378825303,367.4960073778336,368.7557678222656,3019300,0.0,0.0,0.0
2023-04-19,367.0018111840759,369.5212728623,366.9436715805806,368.7363586425781,2671300,0.0,0.0,0.0
2023-04-20,366.0812282697357,368.30032177278514,365.2672442258193,366.6529541015625,2953200,0.0,0.0,0.0
2023-04-21,366.95335931174867,367.36036612817463,365.15097237230754,366.86614990234375,2762300,0.0,0.0,0.0
2023-04-24,366.75955114922385,367.71888417464646,365.5482601282217,367.35064697265625,2310400,0.0,0.0,0.0
2023-04-25,365.4998142303946,366.00373025393463,361.468633904757,361.5461730957031,3795400,0.0,0.0,0.0
2023-04-26,362.08881512632274,363.077217978602,359.4918142083482,359.93756103515625,3766900,0.0,0.0,0.0
2023-04-27,362.31172045782944,367.38944332449586,362.098532039704,367.079345703125,4302400,0.0,0.0,0.0
2023-04-28,366.33319246238705,370.2868335385647,366.2944228674878,370.218994140625,3386900,0.0,0.0,0.0
2023-05-01,369.9089014134241,371.75975761024483,369.70538323318664,369.967041015625,3069300,0.0,0.0,0.0
2023-05-02,369.259696282114,369.3081361009555,363.0675910637072,365.81964111328125,4311600,0.0,0.0,0.0
2023-05-03,366.2072871521498,368.4263811392486,362.9997900902391,363.2711181640625,5513000,0.0,0.0,0.0
2023-05-04,362.26324389411394,362.52487212241124,359.43368447962985,360.61590576171875,4421500,0.0,0.0,0.0
2023-05-05,364.1043882939637,368.31968704459075,363.8039904806408,367.234375,3139400,0.0,0.0,0.0
2023-05-08,367.66072387478926,367.86421247455297,366.1781049314448,367.4378356933594,2957600,0.0,0.0,0.0
2023-05-09,366.0134128820621,366.8564667838289,365.64517564392537,365.84869384765625,2271000,0.0,0.0,0.0
2023-05-10,368.50378245914897,369.03673865633505,364.0074857612928,367.4475402832031,3512900,0.0,0.0,0.0
2023-05-11,366.7498718672242,367.1471788930353,365.00562452845327,366.9339904785156,2676600,0.0,0.0,0.0
2023-05-12,368.0871259387758,368.2421747400899,364.2012948320281,366.43975830078125,2531000,0.0,0.0,0.0
2023-05-15,367.01149316121507,368.0774352136714,365.23817605272444,367.7091979980469,3882600,0.0,0.0,0.0
2023-05-16,366.67235670039815,367.53478056481055,365.23817742692125,365.2769470214844,2275300,0.0,0.0,0.0
2023-05-17,367.1181123582483,370.2577694250029,365.59672363983736,369.6376037597656,3222600,0.0,0.0,0.0
2023-05-18,369.45345268401894,373.6299816623952,369.20149469424507,373.2520446777344,3340600,0.0,0.0,0.0
